id,predicted_price
2591820310,335910.5391263132
7974200820,799053.1455149782
7701450110,1048854.2961735015
9522300010,2039324.7435249689
9510861140,700418.6426172307
1761300310,278441.49757194286
7732410120,685028.9882564025
7010701383,644496.3910411497
291310170,473439.24742074107
4232901990,560909.6843820002
6840701125,627947.9993994277
3971700580,450216.2282816791
4202400078,265638.2843588875
6064800090,374298.29074894794
2626119028,197054.1338301422
3303980660,1003344.4015655583
862000020,562386.1041396789
2386000070,901632.5071156936
1138000450,370417.6210850368
1775800420,479604.73915085284
2291401425,453354.8468996291
2025770560,827300.073899175
3525069037,678481.4906803401
9324800450,602142.1333346771
8080400136,504884.11450021656
8651540040,547698.1418367417
9407001790,283718.7620504608
1773101530,260945.8117907679
9432900250,328604.58753113396
1794500695,580589.17800406
2220069003,433481.8882926561
923000120,506566.2004901742
5728000060,571736.7064170894
16000200,258960.38105910333
1926059094,441625.3457830095
6672900220,986932.2356462944
3629860060,776231.882596843
1822069109,407342.06086948427
6675500105,381578.24492594175
249000180,1518590.2785398585
226059065,512466.8102379198
396100110,286739.34458667046
9264450460,316528.3853070496
7853361210,413637.348502834
9474700020,314261.14125617914
421000455,252464.81306092406
3755200220,405566.6628824252
7960100075,440226.1027951534
9477100490,435418.8325934673
9138100350,771351.92838107
1624049275,357049.5527675449
2770606890,543346.3304886917
1157200189,381298.39199220174
2770601800,457348.33849592914
9301300805,503302.1133885961
2325069032,968570.2515035095
1021079099,371527.2942519701
7215730040,692662.209629522
1853200080,422998.3384855686
3224600340,639057.1270439429
3222049120,475378.54247072263
2113700025,343061.08947033493
7893207925,206252.00577880073
3586501085,574943.7880123728
8024200010,457629.43093137187
7116500705,163374.8787955773
1598600209,278830.0042984172
7204200025,782979.8861869819
4206901505,571948.458544859
2937300440,823103.1292958044
7205000180,274562.15654707386
8718500665,364850.8687879117
5318101765,865577.3861052063
4122700020,692507.8883618081
8078700020,572429.4015411093
3303980680,948858.0004755408
8924100372,1045191.3527833926
2781270210,210537.04430695693
519000043,504541.3719548267
3225069301,1127492.3187909045
151000075,742646.8927571616
2297400020,424183.86799410614
6617500085,591670.7839357055
104510180,229042.5713005902
3528900060,841525.8907513439
3345100286,507708.68539387535
1226039130,389474.685909924
8712100720,946711.2040081294
3037200010,405749.3066659168
3626039268,441109.5651418357
104510230,257080.48104407825
5112800060,392742.7693807544
6072400280,664145.5005351366
5317100570,905322.6434412868
9528102993,545054.7763052335
2919201095,490736.55739294307
6181400920,273725.50374815485
185000161,253885.08530178043
8691400010,741170.4856923436
3345700165,484312.6855713964
6151800486,228780.28110668075
4340000080,972543.3570228884
4136960010,570130.6840882605
3634100030,348862.6862975165
1624059224,1045131.6211265203
2788400090,278198.85416482185
9828200762,437429.0711160035
7524400250,536479.1219178544
3528000290,698817.0356257701
5700003630,1702183.0583757246
2720069019,278396.08212132123
7227501170,225424.7993538978
2397101270,649923.3428317703
6792100090,645411.7233718223
